activity_code,subject_id,trial,fall_event,source_path,n_samples,sample_rate_hz,inferred_duration_sec,expected_duration_sec,duration_delta_sec
D01,SA01,01,0,data\raw\sisfall\SA01\D01_SA01_R01.txt,19999,200,100.0,100,-0.0
D02,SA01,01,0,data\raw\sisfall\SA01\D02_SA01_R01.txt,20000,200,100.0,100,0.0
D03,SA01,01,0,data\raw\sisfall\SA01\D03_SA01_R01.txt,20000,200,100.0,100,0.0
D04,SA01,01,0,data\raw\sisfall\SA01\D04_SA01_R01.txt,20000,200,100.0,100,0.0
D05,SA01,01,0,data\raw\sisfall\SA01\D05_SA01_R01.txt,5000,200,25.0,25,0.0
D05,SA01,02,0,data\raw\sisfall\SA01\D05_SA01_R02.txt,5000,200,25.0,25,0.0
D05,SA01,03,0,data\raw\sisfall\SA01\D05_SA01_R03.txt,5000,200,25.0,25,0.0
D05,SA01,04,0,data\raw\sisfall\SA01\D05_SA01_R04.txt,5000,200,25.0,25,0.0
D05,SA01,05,0,data\raw\sisfall\SA01\D05_SA01_R05.txt,5000,200,25.0,25,0.0
D06,SA01,01,0,data\raw\sisfall\SA01\D06_SA01_R01.txt,5000,200,25.0,25,0.0
D06,SA01,02,0,data\raw\sisfall\SA01\D06_SA01_R02.txt,5000,200,25.0,25,0.0
D06,SA01,03,0,data\raw\sisfall\SA01\D06_SA01_R03.txt,5000,200,25.0,25,0.0
D06,SA01,04,0,data\raw\sisfall\SA01\D06_SA01_R04.txt,5000,200,25.0,25,0.0
D06,SA01,05,0,data\raw\sisfall\SA01\D06_SA01_R05.txt,5000,200,25.0,25,0.0
D07,SA01,01,0,data\raw\sisfall\SA01\D07_SA01_R01.txt,2400,200,12.0,12,0.0
D07,SA01,02,0,data\raw\sisfall\SA01\D07_SA01_R02.txt,2400,200,12.0,12,0.0
D07,SA01,03,0,data\raw\sisfall\SA01\D07_SA01_R03.txt,2400,200,12.0,12,0.0
D07,SA01,04,0,data\raw\sisfall\SA01\D07_SA01_R04.txt,2400,200,12.0,12,0.0
D07,SA01,05,0,data\raw\sisfall\SA01\D07_SA01_R05.txt,2400,200,12.0,12,0.0
D08,SA01,01,0,data\raw\sisfall\SA01\D08_SA01_R01.txt,2400,200,12.0,12,0.0
D08,SA01,02,0,data\raw\sisfall\SA01\D08_SA01_R02.txt,2400,200,12.0,12,0.0
D08,SA01,03,0,data\raw\sisfall\SA01\D08_SA01_R03.txt,2400,200,12.0,12,0.0
D08,SA01,04,0,data\raw\sisfall\SA01\D08_SA01_R04.txt,2400,200,12.0,12,0.0
D08,SA01,05,0,data\raw\sisfall\SA01\D08_SA01_R05.txt,2400,200,12.0,12,0.0
D09,SA01,01,0,data\raw\sisfall\SA01\D09_SA01_R01.txt,2400,200,12.0,12,0.0
D09,SA01,02,0,data\raw\sisfall\SA01\D09_SA01_R02.txt,2400,200,12.0,12,0.0
D09,SA01,03,0,data\raw\sisfall\SA01\D09_SA01_R03.txt,2400,200,12.0,12,0.0
D09,SA01,04,0,data\raw\sisfall\SA01\D09_SA01_R04.txt,2400,200,12.0,12,0.0
D09,SA01,05,0,data\raw\sisfall\SA01\D09_SA01_R05.txt,2400,200,12.0,12,0.0
D10,SA01,01,0,data\raw\sisfall\SA01\D10_SA01_R01.txt,2400,200,12.0,12,0.0
D10,SA01,02,0,data\raw\sisfall\SA01\D10_SA01_R02.txt,2400,200,12.0,12,0.0
D10,SA01,03,0,data\raw\sisfall\SA01\D10_SA01_R03.txt,2400,200,12.0,12,0.0
D10,SA01,04,0,data\raw\sisfall\SA01\D10_SA01_R04.txt,2400,200,12.0,12,0.0
D10,SA01,05,0,data\raw\sisfall\SA01\D10_SA01_R05.txt,2400,200,12.0,12,0.0
D11,SA01,01,0,data\raw\sisfall\SA01\D11_SA01_R01.txt,2400,200,12.0,12,0.0
D11,SA01,02,0,data\raw\sisfall\SA01\D11_SA01_R02.txt,2400,200,12.0,12,0.0
D11,SA01,03,0,data\raw\sisfall\SA01\D11_SA01_R03.txt,2400,200,12.0,12,0.0
D11,SA01,04,0,data\raw\sisfall\SA01\D11_SA01_R04.txt,2400,200,12.0,12,0.0
D11,SA01,05,0,data\raw\sisfall\SA01\D11_SA01_R05.txt,2400,200,12.0,12,0.0
D12,SA01,01,0,data\raw\sisfall\SA01\D12_SA01_R01.txt,2400,200,12.0,12,0.0
D12,SA01,02,0,data\raw\sisfall\SA01\D12_SA01_R02.txt,2400,200,12.0,12,0.0
D12,SA01,03,0,data\raw\sisfall\SA01\D12_SA01_R03.txt,2400,200,12.0,12,0.0
D12,SA01,04,0,data\raw\sisfall\SA01\D12_SA01_R04.txt,2400,200,12.0,12,0.0
D12,SA01,05,0,data\raw\sisfall\SA01\D12_SA01_R05.txt,2400,200,12.0,12,0.0
D13,SA01,01,0,data\raw\sisfall\SA01\D13_SA01_R01.txt,2400,200,12.0,12,0.0
D13,SA01,02,0,data\raw\sisfall\SA01\D13_SA01_R02.txt,2400,200,12.0,12,0.0
D13,SA01,03,0,data\raw\sisfall\SA01\D13_SA01_R03.txt,2400,200,12.0,12,0.0
D13,SA01,04,0,data\raw\sisfall\SA01\D13_SA01_R04.txt,2400,200,12.0,12,0.0
D13,SA01,05,0,data\raw\sisfall\SA01\D13_SA01_R05.txt,2400,200,12.0,12,0.0
D14,SA01,01,0,data\raw\sisfall\SA01\D14_SA01_R01.txt,2400,200,12.0,12,0.0
D14,SA01,02,0,data\raw\sisfall\SA01\D14_SA01_R02.txt,2400,200,12.0,12,0.0
D14,SA01,03,0,data\raw\sisfall\SA01\D14_SA01_R03.txt,2400,200,12.0,12,0.0
D14,SA01,04,0,data\raw\sisfall\SA01\D14_SA01_R04.txt,2400,200,12.0,12,0.0
D14,SA01,05,0,data\raw\sisfall\SA01\D14_SA01_R05.txt,2400,200,12.0,12,0.0
D15,SA01,01,0,data\raw\sisfall\SA01\D15_SA01_R01.txt,2400,200,12.0,12,0.0
D15,SA01,02,0,data\raw\sisfall\SA01\D15_SA01_R02.txt,2400,200,12.0,12,0.0
D15,SA01,03,0,data\raw\sisfall\SA01\D15_SA01_R03.txt,2400,200,12.0,12,0.0
D15,SA01,04,0,data\raw\sisfall\SA01\D15_SA01_R04.txt,2400,200,12.0,12,0.0
D15,SA01,05,0,data\raw\sisfall\SA01\D15_SA01_R05.txt,2400,200,12.0,12,0.0
D16,SA01,01,0,data\raw\sisfall\SA01\D16_SA01_R01.txt,2400,200,12.0,12,0.0
D16,SA01,02,0,data\raw\sisfall\SA01\D16_SA01_R02.txt,2400,200,12.0,12,0.0
D16,SA01,03,0,data\raw\sisfall\SA01\D16_SA01_R03.txt,2400,200,12.0,12,0.0
D16,SA01,04,0,data\raw\sisfall\SA01\D16_SA01_R04.txt,2400,200,12.0,12,0.0
D16,SA01,05,0,data\raw\sisfall\SA01\D16_SA01_R05.txt,2400,200,12.0,12,0.0
D17,SA01,01,0,data\raw\sisfall\SA01\D17_SA01_R01.txt,4999,200,25.0,25,-0.0
D17,SA01,02,0,data\raw\sisfall\SA01\D17_SA01_R02.txt,5000,200,25.0,25,0.0
D17,SA01,03,0,data\raw\sisfall\SA01\D17_SA01_R03.txt,5000,200,25.0,25,0.0
D17,SA01,04,0,data\raw\sisfall\SA01\D17_SA01_R04.txt,5000,200,25.0,25,0.0
D17,SA01,05,0,data\raw\sisfall\SA01\D17_SA01_R05.txt,5000,200,25.0,25,0.0
D18,SA01,01,0,data\raw\sisfall\SA01\D18_SA01_R01.txt,2400,200,12.0,12,0.0
D18,SA01,02,0,data\raw\sisfall\SA01\D18_SA01_R02.txt,2400,200,12.0,12,0.0
D18,SA01,03,0,data\raw\sisfall\SA01\D18_SA01_R03.txt,2400,200,12.0,12,0.0
D18,SA01,04,0,data\raw\sisfall\SA01\D18_SA01_R04.txt,2400,200,12.0,12,0.0
D18,SA01,05,0,data\raw\sisfall\SA01\D18_SA01_R05.txt,2400,200,12.0,12,0.0
D19,SA01,01,0,data\raw\sisfall\SA01\D19_SA01_R01.txt,2400,200,12.0,12,0.0
D19,SA01,02,0,data\raw\sisfall\SA01\D19_SA01_R02.txt,2400,200,12.0,12,0.0
D19,SA01,03,0,data\raw\sisfall\SA01\D19_SA01_R03.txt,2400,200,12.0,12,0.0
D19,SA01,04,0,data\raw\sisfall\SA01\D19_SA01_R04.txt,2400,200,12.0,12,0.0
D19,SA01,05,0,data\raw\sisfall\SA01\D19_SA01_R05.txt,2400,200,12.0,12,0.0
F01,SA01,01,1,data\raw\sisfall\SA01\F01_SA01_R01.txt,3000,200,15.0,15,0.0
F01,SA01,02,1,data\raw\sisfall\SA01\F01_SA01_R02.txt,3000,200,15.0,15,0.0
F01,SA01,03,1,data\raw\sisfall\SA01\F01_SA01_R03.txt,3000,200,15.0,15,0.0
F01,SA01,04,1,data\raw\sisfall\SA01\F01_SA01_R04.txt,3000,200,15.0,15,0.0
F01,SA01,05,1,data\raw\sisfall\SA01\F01_SA01_R05.txt,3000,200,15.0,15,0.0
F02,SA01,01,1,data\raw\sisfall\SA01\F02_SA01_R01.txt,3000,200,15.0,15,0.0
F02,SA01,02,1,data\raw\sisfall\SA01\F02_SA01_R02.txt,3000,200,15.0,15,0.0
F02,SA01,03,1,data\raw\sisfall\SA01\F02_SA01_R03.txt,3000,200,15.0,15,0.0
F02,SA01,04,1,data\raw\sisfall\SA01\F02_SA01_R04.txt,3000,200,15.0,15,0.0
F02,SA01,05,1,data\raw\sisfall\SA01\F02_SA01_R05.txt,3000,200,15.0,15,0.0
F03,SA01,01,1,data\raw\sisfall\SA01\F03_SA01_R01.txt,3000,200,15.0,15,0.0
F03,SA01,02,1,data\raw\sisfall\SA01\F03_SA01_R02.txt,3000,200,15.0,15,0.0
F03,SA01,03,1,data\raw\sisfall\SA01\F03_SA01_R03.txt,3000,200,15.0,15,0.0
F03,SA01,04,1,data\raw\sisfall\SA01\F03_SA01_R04.txt,3000,200,15.0,15,0.0
F03,SA01,05,1,data\raw\sisfall\SA01\F03_SA01_R05.txt,3000,200,15.0,15,0.0
F04,SA01,01,1,data\raw\sisfall\SA01\F04_SA01_R01.txt,3000,200,15.0,15,0.0
F04,SA01,02,1,data\raw\sisfall\SA01\F04_SA01_R02.txt,3000,200,15.0,15,0.0
F04,SA01,03,1,data\raw\sisfall\SA01\F04_SA01_R03.txt,3000,200,15.0,15,0.0
F04,SA01,04,1,data\raw\sisfall\SA01\F04_SA01_R04.txt,3000,200,15.0,15,0.0
F04,SA01,05,1,data\raw\sisfall\SA01\F04_SA01_R05.txt,3000,200,15.0,15,0.0
F05,SA01,01,1,data\raw\sisfall\SA01\F05_SA01_R01.txt,3000,200,15.0,15,0.0
F05,SA01,02,1,data\raw\sisfall\SA01\F05_SA01_R02.txt,3000,200,15.0,15,0.0
F05,SA01,03,1,data\raw\sisfall\SA01\F05_SA01_R03.txt,3000,200,15.0,15,0.0
F05,SA01,04,1,data\raw\sisfall\SA01\F05_SA01_R04.txt,3000,200,15.0,15,0.0
F05,SA01,05,1,data\raw\sisfall\SA01\F05_SA01_R05.txt,3000,200,15.0,15,0.0
