,acc1_magnitude_mean,acc1_magnitude_std,acc1_magnitude_max,acc1_magnitude_min,gyro_magnitude_mean,gyro_magnitude_std,gyro_magnitude_max,gyro_magnitude_min,acc1_jerk_max,acc1_jerk_mean,age,height_cm,weight_kg
acc1_magnitude_mean,1.0,0.6261339677665265,0.28355116371982153,-0.26431702942956065,0.6063211683384706,0.3376905371137357,0.29523475999064136,0.3229325089445798,0.2814271735533633,0.7582285121947446,-0.08529995325362445,0.028968275915231788,-0.019141635634440313
acc1_magnitude_std,0.6261339677665265,1.0,0.747595888859785,-0.7460955114869652,0.5968192780270929,0.6197164005388659,0.6658335785135993,0.22709135149793475,0.5661167344425228,0.8380879804038246,-0.25965091050780903,0.05878057837377344,-0.03905924945923723
acc1_magnitude_max,0.28355116371982153,0.747595888859785,1.0,-0.5703618179312582,0.18643810709654762,0.5293052482992261,0.779354669248114,0.08887562536562085,0.8613214263555109,0.42324711172599677,-0.31371973763514854,0.08421063971417399,-0.0450855699232277
acc1_magnitude_min,-0.26431702942956065,-0.7460955114869652,-0.5703618179312582,1.0,-0.2992310693742817,-0.5159468790870362,-0.5598803627090992,-0.1369816306265594,-0.36394584933521995,-0.491813693031534,0.2625106917876075,-0.076055846202325,0.04274359865098509
gyro_magnitude_mean,0.6063211683384706,0.5968192780270929,0.18643810709654762,-0.2992310693742817,1.0,0.6011301136617464,0.3310158659614231,0.45465846700732404,0.13751181632703458,0.7854989100631389,0.016721235557480597,-0.02982219424273342,-0.01732076625604151
gyro_magnitude_std,0.3376905371137357,0.6197164005388659,0.5293052482992261,-0.5159468790870362,0.6011301136617464,1.0,0.7731322831985896,0.1880152279572049,0.37144233939753113,0.4706932074100474,-0.18631439269008274,-0.01613525695063041,-0.06128955601606939
gyro_magnitude_max,0.29523475999064136,0.6658335785135993,0.779354669248114,-0.5598803627090992,0.3310158659614231,0.7731322831985896,1.0,0.13788756997092627,0.6740152181697648,0.42482169169091333,-0.25350600454674,-0.007264480559149341,-0.07571252502808556
gyro_magnitude_min,0.3229325089445798,0.22709135149793475,0.08887562536562085,-0.1369816306265594,0.45465846700732404,0.1880152279572049,0.13788756997092627,1.0,0.09491971931713614,0.3382906059768197,0.044391198615869105,0.02525375057871687,-0.010907057127979626
acc1_jerk_max,0.2814271735533633,0.5661167344425228,0.8613214263555109,-0.36394584933521995,0.13751181632703458,0.37144233939753113,0.6740152181697648,0.09491971931713614,1.0,0.37349320495362975,-0.21029252428652753,0.07048750058484375,-0.014650265082289001
acc1_jerk_mean,0.7582285121947446,0.8380879804038246,0.42324711172599677,-0.491813693031534,0.7854989100631389,0.4706932074100474,0.42482169169091333,0.3382906059768197,0.37349320495362975,1.0,-0.10988980007618963,0.031305460563041544,-0.010751466857483658
age,-0.08529995325362445,-0.25965091050780903,-0.31371973763514854,0.2625106917876075,0.016721235557480597,-0.18631439269008274,-0.25350600454674,0.044391198615869105,-0.21029252428652753,-0.10988980007618963,1.0,-0.14351276751830508,0.2692965269867155
height_cm,0.028968275915231788,0.05878057837377344,0.08421063971417399,-0.076055846202325,-0.02982219424273342,-0.01613525695063041,-0.007264480559149341,0.02525375057871687,0.07048750058484375,0.031305460563041544,-0.14351276751830508,1.0,0.6959554412922789
weight_kg,-0.019141635634440313,-0.03905924945923723,-0.0450855699232277,0.04274359865098509,-0.01732076625604151,-0.06128955601606939,-0.07571252502808556,-0.010907057127979626,-0.014650265082289001,-0.010751466857483658,0.2692965269867155,0.6959554412922789,1.0
